regiao,ndf,ndp,sobra
Água Rasa,30,28943,0
Alto de Pinheiros,0,15564,0
Anhanguera,1116,25093,0
Aricanduva,304,28098,0
Artur Alvim,2178,34389,0
Barra Funda,70,6133,0
Bela Vista,0,32888,0
Belém,600,15315,0
Bom Retiro,0,12076,0
Brás,0,11356,0
Brasilândia,18807,84543,0
Butantã,214,19349,0
Cachoeirinha,8461,45460,0
Cambuci,0,13802,0
Campo Belo,1562,24282,0
Campo Grande,1406,36766,0
Campo Limpo,15915,71960,0
Cangaíba,4706,43606,0
Capão Redondo,25542,92386,0
Carrão,742,28558,0
Casa Verde,35,28040,0
Cidade Ademar,20071,89697,0
Cidade Dutra,5768,62400,0
Cidade Líder,5767,41653,0
Cidade Tiradentes,2570,70395,0
Consolação,0,28266,0
Cursino,2482,38052,0
Ermelino Matarazzo,3191,37213,0
Freguesia do Ó,1865,46602,0
Grajaú,17778,116545,0
Guaianases,1061,33586,0
Iguatemi,4101,42793,0
Ipiranga,1338,39198,0
Itaim Bibi,325,41971,0
Itaim Paulista,4479,70993,0
Itaquera,2241,64824,0
Jabaquara,12422,78023,0
Jaçanã,2116,29444,0
Jaguara,217,8051,0
Jaguaré,1524,18595,0
Jaraguá,12931,62199,0
Jardim Ângela,16883,102628,0
Jardim Helena,5248,40341,0
Jardim Paulista,0,41971,0
Jardim São Luís,19857,93775,0
José Bonifácio,632,43241,0
Lajeado,3930,51948,0
Lapa,130,25120,0
Liberdade,88,29792,0
Limão,2511,25472,0
Mandaqui,2532,37472,0
Marsilac,73,2551,0
Moema,0,38051,0
Moóca,50,28248,0
Morumbi,2563,17217,0
Parelheiros,3538,43869,0
Pari,130,6012,0
Parque do Carmo,2707,22289,0
Pedreira,7338,48840,0
Penha,2748,43733,0
Perdizes,0,46838,0
Perus,2975,25829,0
Pinheiros,22,28410,0
Pirituba,3905,56658,0
Ponte Rasa,1032,29230,0
Raposo Tavares,3996,33054,0
República,0,29412,0
Rio Pequeno,8507,39796,0
Sacomã,22290,87791,0
Santa Cecília,375,38903,0
Santana,96,41087,0
Santo Amaro,44,26855,0
São Domingos,3692,28362,0
São Lucas,2165,48232,0
São Mateus,3153,49276,0
São Miguel,825,28000,0
São Rafael,4469,46930,0
Sapopemba,18273,91074,0
Saúde,503,52331,0
Sé,0,10295,0
Socorro,769,12461,0
Tatuapé,412,34976,0
Tremembé,7629,65347,0
Tucuruvi,240,33461,0
Vila Andrade,20595,52510,0
Vila Curuçá,3639,47330,0
Vila Formosa,292,31612,0
Vila Guilherme,406,18809,0
Vila Jacuí,2348,45937,0
Vila Leopoldina,753,15636,0
Vila Maria,4992,36924,0
Vila Mariana,474,54817,0
Vila Matilde,225,35108,0
Vila Medeiros,1204,40020,0
Vila Prudente,1960,36323,0
Vila Sônia,9653,39064,0